 mdot  qb   x     z       g     n_bursts  rate       dt         energy        peak          u_rate    u_dt      u_energy      u_peak      
 0.08  0.2  0.70  0.0025  2.26  23         4.576307   5.244404  7.568130e+39  2.398856e+38  0.169595  0.194354  2.739388e+38  2.194707e+37
 0.10  0.2  0.70  0.0025  2.26  21         6.091076   3.940190  7.182255e+39  2.080451e+38  0.141250  0.091372  2.180713e+38  2.248158e+37
 0.12  0.2  0.70  0.0025  2.26  20         7.566274   3.171971  6.988469e+39  1.938759e+38  0.098463  0.041278  1.016308e+38  1.067689e+37
 0.14  0.2  0.70  0.0025  2.26  20         9.218748   2.603391  6.725170e+39  1.731334e+38  0.236556  0.066804  1.243373e+38  1.146108e+37
 0.16  0.2  0.70  0.0025  2.26  20        10.774329   2.227517  6.621618e+39  1.665489e+38  0.154239  0.031888  8.074850e+37  5.771935e+36
 0.18  0.2  0.70  0.0025  2.26  20        12.353371   1.942789  6.528140e+39  1.624574e+38  0.225935  0.035532  8.490996e+37  5.791412e+36
 0.08  0.2  0.70  0.0075  2.26  20         5.407511   4.438271  6.166444e+39  2.288733e+38  0.173815  0.142660  2.257941e+38  2.649325e+37
 0.10  0.2  0.70  0.0075  2.26  20         7.018664   3.419454  6.055011e+39  1.992890e+38  0.179701  0.087549  1.615913e+38  2.210085e+37
 0.12  0.2  0.70  0.0075  2.26  20         8.540163   2.810251  6.053834e+39  1.873012e+38  0.147071  0.048396  1.478232e+38  1.466351e+37
 0.14  0.2  0.70  0.0075  2.26  20        10.201909   2.352501  5.961132e+39  1.750846e+38  0.182010  0.041970  1.512777e+38  1.153142e+37
 0.16  0.2  0.70  0.0075  2.26  20        11.769801   2.039117  5.944550e+39  1.673722e+38  0.166865  0.028909  9.192507e+37  6.871214e+36
 0.18  0.2  0.70  0.0075  2.26  19        13.456090   1.783579  5.886096e+39  1.588949e+38  0.152027  0.020151  5.746826e+37  5.595808e+36
 0.08  0.2  0.73  0.0025  2.26  22         4.721175   5.083481  7.509384e+39  2.021979e+38  0.281081  0.302651  4.286077e+38  2.184872e+37
 0.10  0.2  0.73  0.0025  2.26  20         6.453484   3.718921  6.921170e+39  1.692543e+38  0.301565  0.173781  2.582554e+38  1.066718e+37
 0.12  0.2  0.73  0.0025  2.26  21         7.970529   3.011092  6.741482e+39  1.585821e+38  0.492903  0.186208  1.941015e+38  8.999357e+36
 0.14  0.2  0.73  0.0025  2.26  23         9.565517   2.509012  6.586681e+39  1.529580e+38  0.755961  0.198287  2.553695e+38  1.273587e+37
 0.16  0.2  0.73  0.0025  2.26  22        11.096173   2.162908  6.501521e+39  1.468676e+38  0.722063  0.140747  2.231156e+38  1.553679e+37
 0.18  0.2  0.73  0.0025  2.26  22        12.666559   1.894753  6.433811e+39  1.434689e+38  0.742191  0.111022  2.972790e+38  1.654424e+37
 0.08  0.2  0.73  0.0075  2.26  21         5.567313   4.310877  6.115805e+39  1.914112e+38  0.231578  0.179315  2.170506e+38  2.211450e+37
 0.10  0.2  0.73  0.0075  2.26  20         7.213290   3.327192  6.019898e+39  1.692119e+38  0.152928  0.070539  1.538017e+38  1.227887e+37
 0.12  0.2  0.73  0.0075  2.26  20         8.716660   2.753348  6.055078e+39  1.627435e+38  0.256817  0.081121  1.623983e+38  8.713149e+36
 0.14  0.2  0.73  0.0075  2.26  20        10.500984   2.285500  5.902055e+39  1.505982e+38  0.484912  0.105539  1.242304e+38  6.028059e+36
 0.16  0.2  0.73  0.0075  2.26  20        12.104563   1.982723  5.899776e+39  1.465672e+38  0.564407  0.092450  9.847514e+37  7.881356e+36
 0.18  0.2  0.73  0.0075  2.26  20        13.770307   1.742881  5.830266e+39  1.411928e+38  0.665006  0.084168  1.850142e+38  9.007709e+36
 0.08  0.2  0.67  0.0025  2.26  22         4.575389   5.245455  7.383484e+39  2.675241e+38  0.274984  0.315256  3.024473e+38  2.010345e+37
 0.10  0.2  0.67  0.0025  2.26  22         6.111756   3.926859  6.986400e+39  2.389467e+38  0.200646  0.128917  2.507228e+38  2.505808e+37
 0.12  0.2  0.67  0.0025  2.26  20         7.533453   3.185790  6.866909e+39  2.310173e+38  0.242723  0.102644  2.414787e+38  2.124019e+37
 0.14  0.2  0.67  0.0025  2.26  20         9.168641   2.617618  6.616734e+39  1.977765e+38  0.143959  0.041100  2.017040e+38  1.876095e+37
 0.16  0.2  0.67  0.0025  2.26  20        10.705910   2.241752  6.498907e+39  1.970578e+38  0.271679  0.056888  2.115037e+38  1.713137e+37
 0.18  0.2  0.67  0.0025  2.26  20        12.308910   1.949807  6.396141e+39  1.843810e+38  0.215601  0.034153  1.405170e+38  1.091789e+37
 0.08  0.2  0.67  0.0075  2.26  20         5.439473   4.412192  5.958408e+39  2.486237e+38  0.211499  0.171556  1.622997e+38  2.048263e+37
 0.10  0.2  0.67  0.0075  2.26  20         6.943387   3.456527  5.946754e+39  2.307852e+38  0.247246  0.123083  2.479433e+38  2.804939e+37
 0.12  0.2  0.67  0.0075  2.26  19         8.628986   2.781323  5.842274e+39  2.120617e+38  0.220128  0.070953  1.502849e+38  1.826473e+37
 0.14  0.2  0.67  0.0075  2.26  20        10.174381   2.358866  5.835559e+39  2.033805e+38  0.254686  0.059047  1.798821e+38  1.890129e+37
 0.16  0.2  0.67  0.0075  2.26  20        11.909968   2.015119  5.725258e+39  1.852979e+38  0.240405  0.040676  1.648606e+38  1.277588e+37
 0.18  0.2  0.67  0.0075  2.26  20        13.588162   1.766243  5.682043e+39  1.782096e+38  0.181055  0.023534  1.360549e+38  1.052557e+37
 0.08  0.2  0.67  0.0050  2.26  22         5.011710   4.788785  6.580977e+39  2.611435e+38  0.257006  0.245574  2.993234e+38  3.247564e+37
 0.10  0.2  0.67  0.0050  2.26  20         6.666750   3.599955  6.302728e+39  2.287109e+38  0.220194  0.118902  2.392475e+38  2.591143e+37
 0.12  0.2  0.67  0.0050  2.26  25         7.997068   3.001100  6.370712e+39  2.275519e+38  0.209058  0.078454  1.693109e+38  2.104496e+37
 0.14  0.2  0.67  0.0050  2.26  20         9.749972   2.461546  6.138514e+39  1.919854e+38  0.196192  0.049532  1.472060e+38  1.169415e+37
 0.16  0.2  0.67  0.0050  2.26  21        11.382977   2.108411  6.052786e+39  1.849674e+38  0.240060  0.044465  1.582080e+38  1.188023e+37
 0.18  0.2  0.67  0.0050  2.26  21        13.038992   1.840633  5.980009e+39  1.771076e+38  0.193513  0.027317  1.331034e+38  1.119805e+37
 0.08  0.2  0.70  0.0050  2.26  23         5.102106   4.703940  6.685830e+39  2.271658e+38  0.175107  0.161442  1.930365e+38  2.459993e+37
 0.10  0.2  0.70  0.0050  2.26  23         6.589925   3.641923  6.546435e+39  2.057420e+38  0.147335  0.081425  1.708043e+38  1.881698e+37
 0.12  0.2  0.70  0.0050  2.26  20         8.144873   2.946639  6.424191e+39  1.874614e+38  0.173972  0.062939  1.382067e+38  1.197551e+37
 0.14  0.2  0.70  0.0050  2.26  20         9.693307   2.475935  6.336137e+39  1.761896e+38  0.141416  0.036122  9.324843e+37  9.441893e+36
 0.16  0.2  0.70  0.0050  2.26  21        11.415386   2.102426  6.185511e+39  1.620875e+38  0.164487  0.030294  8.614725e+37  6.609624e+36
 0.18  0.2  0.70  0.0050  2.26  20        12.949242   1.853390  6.157337e+39  1.590176e+38  0.190957  0.027331  7.600806e+37  6.867501e+36
 0.08  0.2  0.73  0.0050  2.26  22         5.163407   4.648093  6.740558e+39  1.959543e+38  0.136959  0.123290  1.878156e+38  1.721847e+37
 0.10  0.2  0.73  0.0050  2.26  20         6.709400   3.577071  6.554552e+39  1.755334e+38  0.249671  0.133110  2.018866e+38  1.246937e+37
 0.12  0.2  0.73  0.0050  2.26  20         8.249132   2.909397  6.468793e+39  1.644855e+38  0.243070  0.085729  1.557310e+38  7.727588e+36
 0.14  0.2  0.73  0.0050  2.26  21        10.040810   2.390245  6.222725e+39  1.502601e+38  0.455128  0.108345  1.151977e+38  5.637790e+36
 0.16  0.2  0.73  0.0050  2.26  21        11.664684   2.057493  6.121112e+39  1.452407e+38  0.707491  0.124792  1.384834e+38  1.162849e+37
 0.18  0.2  0.73  0.0050  2.26  21        13.182620   1.820579  6.139820e+39  1.417355e+38  0.585969  0.080925  1.939030e+38  1.092516e+37
 0.08  0.0  0.67  0.0025  2.26  21         3.880171   6.185295  8.688336e+39  3.372653e+38  0.373589  0.595529  8.894342e+38  2.693875e+37
 0.10  0.0  0.67  0.0025  2.26  22         4.861105   4.937149  8.760212e+39  3.222043e+38  0.303886  0.308640  5.630360e+38  1.893183e+37
 0.12  0.0  0.67  0.0025  2.26  22         6.045642   3.969802  8.517950e+39  2.966386e+38  0.401293  0.263505  5.353979e+38  1.804319e+37
